Summary of robustness results of gnn model with accuracy = 0.9037 

               MOLECULES 
Pixels (%) | Robust  Unknown  Not Rob.  N 
   10       | NaN    NaN   NaN   0 
   20       | NaN    NaN   NaN   0 
   30       | NaN    NaN   NaN   0 
   40       | 0.000    0.000   0.000   7170 
   50       | NaN    NaN   NaN   0 
   60       | NaN    NaN   NaN   0 
   70       | NaN    NaN   NaN   0 
   80       | NaN    NaN   NaN   0 
   90       | NaN    NaN   NaN   0 
   100       | NaN    NaN   NaN   0 
 

                 ATOMS 
Pixels (%) | Robust  Unknown  Not Rob.  N 
   10       | NaN    NaN   NaN   0 
   20       | NaN    NaN   NaN   0 
   30       | NaN    NaN   NaN   0 
   40       | 0.194    0.105   0.122   136230 
   50       | NaN    NaN   NaN   0 
   60       | NaN    NaN   NaN   0 
   70       | NaN    NaN   NaN   0 
   80       | NaN    NaN   NaN   0 
   90       | NaN    NaN   NaN   0 
   100       | NaN    NaN   NaN   0 
